algorithm,measure,serial_threshold,stop_threshold,filename,rsf_path,cluster_count,total_entities,largest_cluster_size,largest_cluster_pct,smallest_cluster_size,average_cluster_size,singleton_count
WCA,UEMNM,90,50,mapreduceclientcore_algo-wca_measure-uemnm_serial-90_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-90_stop-50.rsf,90,544,44,8.09,1,6.04,66
WCA,UEMNM,100,50,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-50.rsf,100,544,30,5.51,1,5.44,66
WCA,UEMNM,110,50,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-50.rsf,110,544,24,4.41,1,4.95,66
WCA,UEMNM,120,50,mapreduceclientcore_algo-wca_measure-uemnm_serial-120_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-120_stop-50.rsf,120,544,24,4.41,1,4.53,66
WCA,UEMNM,130,50,mapreduceclientcore_algo-wca_measure-uemnm_serial-130_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-130_stop-50.rsf,130,544,20,3.68,1,4.18,69
WCA,UEMNM,140,50,mapreduceclientcore_algo-wca_measure-uemnm_serial-140_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-140_stop-50.rsf,140,544,20,3.68,1,3.89,75
WCA,UEMNM,150,50,mapreduceclientcore_algo-wca_measure-uemnm_serial-150_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-150_stop-50.rsf,150,544,20,3.68,1,3.63,84
WCA,UEMNM,75,75,mapreduceclientcore_algo-wca_measure-uemnm_serial-75_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-75_stop-75.rsf,75,544,86,15.81,1,7.25,66
WCA,UEMNM,80,75,mapreduceclientcore_algo-wca_measure-uemnm_serial-80_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-80_stop-75.rsf,80,544,86,15.81,1,6.8,66
WCA,UEMNM,90,75,mapreduceclientcore_algo-wca_measure-uemnm_serial-90_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-90_stop-75.rsf,90,544,44,8.09,1,6.04,66
WCA,UEMNM,100,75,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-75.rsf,100,544,30,5.51,1,5.44,66
WCA,UEMNM,110,75,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-75.rsf,110,544,24,4.41,1,4.95,66
WCA,UEMNM,120,75,mapreduceclientcore_algo-wca_measure-uemnm_serial-120_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-120_stop-75.rsf,120,544,24,4.41,1,4.53,66
WCA,UEMNM,130,75,mapreduceclientcore_algo-wca_measure-uemnm_serial-130_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-130_stop-75.rsf,130,544,20,3.68,1,4.18,69
WCA,UEMNM,140,75,mapreduceclientcore_algo-wca_measure-uemnm_serial-140_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-140_stop-75.rsf,140,544,20,3.68,1,3.89,75
WCA,UEMNM,150,75,mapreduceclientcore_algo-wca_measure-uemnm_serial-150_stop-75.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-150_stop-75.rsf,150,544,20,3.68,1,3.63,84
WCA,UEMNM,100,100,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-100.rsf,100,544,30,5.51,1,5.44,66
WCA,UEMNM,110,100,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-100.rsf,110,544,24,4.41,1,4.95,66
WCA,UEMNM,120,100,mapreduceclientcore_algo-wca_measure-uemnm_serial-120_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-120_stop-100.rsf,120,544,24,4.41,1,4.53,66
WCA,UEMNM,130,100,mapreduceclientcore_algo-wca_measure-uemnm_serial-130_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-130_stop-100.rsf,130,544,20,3.68,1,4.18,69
WCA,UEMNM,140,100,mapreduceclientcore_algo-wca_measure-uemnm_serial-140_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-140_stop-100.rsf,140,544,20,3.68,1,3.89,75
WCA,UEMNM,150,100,mapreduceclientcore_algo-wca_measure-uemnm_serial-150_stop-100.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-150_stop-100.rsf,150,544,20,3.68,1,3.63,84
